Абонемент Обонемент
аккомпАнемент аккомпОнимент
Амнистия Омнистия
аннОтация аннАтация
бЕчевка бичевка
бИрюзовый бЕрюзовый
бИчевать бЕчевать
брошЮра брошУра
вИнегрет вЕнигрет
воплОщать воплАщать
грОмадный грАмадный
дЕзертир дИзертир
дИрижер дЕрижер
дИскуссия дЕскуссия
жЮри жУри
закОснелый закАснелый
испЕщренный испИщренный
кАмпания(мероприятие) кОмпания(мероприятие)
кАнонада кОнонада
кОмпания(друзей) кАмпания(друзей)
обАяние обОяние
обОняние обАяние
пАлисадник пОлисадник
парашЮт парашУт
пЕссимист пИссимист
пОлемика пАлемика
прИвилегия прЕвилегия
прИоритет прЕоритет
стИпендия стЕпендия
цИвилизация цЕвилизация
эксперИментировать эксперЕментировать
