Абонемент Обонемент
аккомпАнемент аккомпОнимент
Амнистия Омнистия
аннОтация аннАтация
бЕчевка бИчевка
бИрюзовый бЕрюзовый
бИчевать бЕчевать
брошЮра брошУра
вИнегрет вЕнигрет
воплОщать воплАщать
грОмадный грАмадный
дЕзертир дИзертир
дИрижер дЕрижер
дИскуссия дЕскуссия
жЮри жУри
закОснелый закАснелый
испЕщренный испИщренный
кАмпания(мероприятие) кОмпания(мероприятие)
кАнонада кОнонада
кОмпания(друзей) кАмпания(друзей)
обАяние обОяние
обОняние обАняние
пАлисадник пОлисадник
парашЮт парашУт
пЕссимист пИссимист
пОлемика пАлемика
прИвилегия прЕвилегия
прИоритет прЕоритет
стИпендия стЕпендия
цИвилизация цЕвилизация
эксперИментировать эксперЕментировать
