без прИкрас; без прЕкрас
беспрЕкословный; беспрИкословный
беспрЕстанный; беспрИстанный
беспрИстрастный (судья); беспрЕстрастный (судья)
непрЕложный; непрИложный
непрЕходящие (ценности); непрИходящие (ценности)
непрИступный (утёс); непрЕступный (утёс)
прЕамбула; прИамбула
прЕбывать (в городе); прИбывать (в городе)
прЕвалировать; прИвалировать
прЕвратный (смысл); прИвратный (смысл)
прЕдание (старины); прИдание (старины)
прЕзирать (пренебрегать); прИзирать (пренебрегать)
прЕследование; прИследование
прЕступный (синдикат); прИступный (синдикат)
прЕцедент; прИцедент
прИбывать (в город); прЕбывать (в город)
прИвратник (у врат); прЕвратник (у врат)
прИзирать (приютить); прЕзирать (приютить)
прИоритет; прЕоритет
