аэропОрты аэропортЫ
бАнты бантЫ
бОроду бородУ
бралА брАла
бралАсь брАлась
бухгАлтеров бухгалтерОв
вернА вЕрна
вероисповЕдание вероисповедАние
взялА взЯла
взялАсь взЯлась
влилАсь влИлась
водопровОд водопрОвод
ворвалАсь ворвАлась
воспринЯть воспрИнять
воссоздалА воссОздала
вручИт врУчит
газопровОд газопрОвод
гналА гнАла
гналАсь гнАлась
граждАнство грАжданство
дефИс дЕфис
дешевИзна дешевизнА
диспансЕр диспАнсер
добралА добрАла
добралАсь добрАлась
довезЕнный довЕзенный
дОверху довЕрху
договорЕнность договОренность
дождалАсь дождАлась
дозвонИтся дозвОнится
дозИровать дозировАть
докумЕнт докУмент
донЕльзя дОнельзя
дОнизу донИзу
досУг дОсуг
дОсуха досУха
еретИк ерЕтик
жалюзИ жАлюзи
ждалА ждАла
жилОсь жИлось
зАгнутый загнУтый
закУпорив закупОрив
закУпорить закупОрить
зАнятый занЯтый
занЯть зАнять
заперлА зАперла
зАпертый запЕртый
запломбировАть запломбИровать
зАсветло засвЕтло
заселЕнный засЕленный
зАтемно затЕмно
защемИт защЕмит
звалА звАла
звонИт звОнит
знАчимость значИмость
знАчимый значИмый
Иксы иксЫ
каталОг катАлог
кАшлянуть кашлянУть
квартАл квАртал
киломЕтр килОметр
клАла клалА
клЕить клеИть
кОнусов конусОв
кормЯщий кОрмящий
корЫсть кОрысть
крАлась кралАсь
крАны кранЫ
красИвее красивеЕ
красИвее красивЕе
кремЕнь крЕмень
кровоточАщий кровотОчащий
кровоточИть кровотОчить
кУхонный кухОнный
лгалА лгАла
лЕкторов лекторОв
лилА лИла
лилАсь лИлась
ловкА лОвка
лОктя локтЯ
лыжнЯ лЫжня
мЕстностей местностЕй
мозаИчный мозАичный
навралА наврАла
наделИт надЕлит
надОлго нАдолго
надорвалАсь надорвАлась
нажИвший нАживший
назвалАсь назвАлась
накренИтся накрЕнится
налИвший нАливший
налилА налИла
намЕрение намерЕние
нанЯвшийся нАнявшийся
нарвалА нарвАла
нарОст нАрост
начАв нАчав
начАвший нАчавший
начАвшись нАчавшись
нАчатый начАтый
начАть нАчать
нЕдруг недрУг
недУг нЕдуг
некролОг некрОлог
нЕнависть ненавИсть
ненадОлго ненАдолго
нефтепровОд нефтепрОвод
низведЕнный низвЕденный
новостЕй нОвостей
нОгтя ногтЯ
обзвонИт обзвОнит
облегчЕнный облЕгченный
облегчИть облЕгчить
облилАсь облИлась
обнялАсь обнЯлась
обогналА обогнАла
ободралА ободрАла
ободрЕнный обОдренный
ободрИть обОдрить
обострЕнный обОстренный
обострИть обОстрить
одолжИть одОлжить
озлОбить озлобИть
оклЕить оклеИть
окружИт окрУжит
опОшлить опошлИть
оптОвый Оптовый
освЕдомиться осведомИться
отбылА отбЫла
отдАв Отдав
отдалА отдАла
отключЕнный отклЮченный
откУпорить откупОрить
отозвалА отозвАла
отозвалАсь отозвАлась
Отрочество отрОчество
партЕр пАртер
перезвонИт перезвОнит
перелилА перелИла
плодоносИть плодОносить
пломбировАть пломбИровать
повторЕнный повтОренный
повторИт повтОрит
поделЕнный подЕленный
поднЯв пОдняв
позвалА позвАла
позвонИт позвОнит
полилА полИла
положИть полОжить
понЯв пОняв
понЯвший пОнявший
понЯть пОнять
портфЕль пОртфель
пОручни порУчни
послАла послалА
прибЫв прИбыв
прибЫть прИбыть
придАное прИданое
призЫв прИзыв
прИнятый принЯтый
принЯть прИнять
приручЕнный прирУченный
прожИвший прОживший
прозорлИвый прозОрливый
рвалА рвАла
свЕкла свеклА
сверлИт свЕрлит
сирОты сИроты
слИвовый сливОвый
снялА снЯла
снятА снЯта
совралА соврАла
сОгнутый согнУтый
создАв сОздав
создалА создАла
созЫв созЫв
сорвалА сорвАла
сорИт сОрит
сосредотОчение сосредоточЕние
срЕдства средствА
стАтуя статУя
столЯр стОляр
тамОжня тАможня
тОрты тортЫ
тУфля туфлЯ
убралА убрАла
углубИть углУбить
углублЕнный углУбленный
укрепИт укрЕпит
цемЕнт цЕмент
цЕнтнер центнЕр
цепОчка цЕпочка
чЕрпать черпАть
шАрфы шарфЫ
шофЕр шОфер
щЕлкать щелкАть
щемИт щЕмит
экспЕрт Эксперт
